data-time,wind,dir,slp,t2,rh2,td2,nwp_wind,nwp_dir,nwp_u,nwp_v,nwp_t,nwp_rh,nwp_psfc,nwp_slp,residual
2018-03-06-20:00:00,3.42,152.0,1026.7,270.55,42.0,260.46,1.6736,115.28539,-1.502,0.72675,268.73978,51.05546,1023.55853,1031.17358,1.7464
2018-03-06-21:00:00,3.12,142.0,1026.4,270.55,38.0,259.35,1.5255,112.25288,-1.41188,0.5777,268.38574,47.47507,1022.77045,1030.38879,1.5945
2018-03-06-22:00:00,3.31,135.0,1025.3,270.25,41.0,259.92,1.33518,111.30257,-1.24136,0.49083,268.75992,47.47091,1022.34882,1029.96936,1.97482
2018-03-06-23:00:00,3.06,133.0,1025.0,270.15,42.0,260.09,1.14486,110.35226,-1.07085,0.40396,269.13406,47.46674,1021.92725,1029.55005,1.91514
2018-03-07-00:00:01,3.48,128.0,1025.1,270.85,40.0,260.19,0.95454,109.40196,-0.90034,0.31709,269.50824,47.46257,1021.50562,1029.13062,2.52546
2018-03-07-01:00:00,2.26,164.0,1025.4,271.65,40.0,260.93,1.03994,124.05544,-0.78117,0.57214,270.72263,48.78981,1020.92542,1028.51807,1.2200599999999997
2018-03-07-02:00:00,2.32,138.0,1024.7,272.35,41.0,261.86,1.12534,138.70891,-0.662,0.82719,271.93704,50.11706,1020.34521,1027.90564,1.1946599999999998
2018-03-07-03:00:00,1.74,143.0,1023.7,272.45,45.0,263.01,1.21074,153.36238,-0.54283,1.08223,273.15143,51.44431,1019.76501,1027.29309,0.5292600000000001
2018-03-07-04:00:00,1.65,149.0,1022.7,273.45,46.0,263.12,1.47798,162.27084,-0.36086,1.39231,274.05563,49.91306,1018.64929,1026.14307,0.17201999999999984
2018-03-07-05:00:00,2.18,100.0,1021.6,274.45,46.0,264.05,1.74522,171.17929,-0.17889,1.70238,274.95981,48.38181,1017.53351,1024.99316,0.43478000000000017
2018-03-07-06:00:00,2.94,51.0,1020.9,274.75,46.0,264.33,2.01245,180.08775,0.00308,2.01245,275.86401,46.85057,1016.41779,1023.84314,0.9275500000000001
2018-03-07-07:00:00,1.42,221.0,1020.5,274.95,46.0,264.51,1.6838,173.85135,-0.1072,1.66589,276.06345,48.13079,1016.15216,1023.56085,-0.26380000000000003
2018-03-07-08:00:00,1.33,73.0,1020.1,275.15,46.0,264.7,1.35515,167.61496,-0.21749,1.31932,276.26285,49.41101,1015.88647,1023.27856,-0.025150000000000006
2018-03-07-09:00:00,1.21,187.0,1020.2,275.25,46.0,264.79,1.02649,161.37856,-0.32777,0.97276,276.46228,50.69123,1015.62085,1022.99628,0.18351000000000006
2018-03-07-10:00:00,0.79,162.0,1021.2,275.05,48.0,265.16,1.58523,108.78053,-0.27484,-0.25064,275.01297,56.20587,1016.9054,1024.2981,-0.7952299999999999
2018-03-07-11:00:00,3.36,52.0,1022.7,275.25,46.0,264.79,2.14398,56.18251,-0.22191,-1.47403,273.56366,61.72051,1018.19,1025.59998,1.2160199999999999
2018-03-07-12:00:00,3.35,46.0,1024.1,274.95,47.0,264.79,1.77501,340.94504,0.5795,-1.67775,270.83759,76.71457,1020.6369,1028.1344,1.5749900000000001
2018-03-07-13:00:00,3.69,25.0,1025.2,274.45,46.0,264.05,1.86956,228.51282,0.34267,-1.80332,270.41257,78.33523,1021.79291,1029.27063,1.8204399999999998
2018-03-07-14:00:00,3.16,350.0,1026.6,272.85,50.0,264.59,1.9641,116.08058,0.10583,-1.9289,269.98758,79.95588,1022.94897,1030.40686,1.1959000000000002
2018-03-07-15:00:00,3.66,17.0,1027.3,274.35,47.0,264.23,2.05864,3.64833,-0.131,-2.05447,269.56256,81.57654,1024.10498,1031.54309,1.6013600000000001
2018-03-07-16:00:00,4.39,26.0,1027.9,274.25,47.0,264.14,2.13483,15.59966,-0.5723,-1.95791,269.31973,77.7461,1024.55579,1032.01892,2.2551699999999997
2018-03-07-17:00:00,2.41,38.0,1028.6,273.55,44.0,262.65,2.21101,27.55098,-1.01361,-1.86136,269.07693,73.91566,1025.00671,1032.49475,0.19899000000000022
2018-03-07-18:00:00,3.63,12.0,1028.9,273.05,43.0,261.9,2.2872,39.5023,-1.45491,-1.7648,268.83411,70.08522,1025.45752,1032.97058,1.3428
2018-03-07-19:00:00,4.53,7.0,1029.0,271.75,44.0,262.1,2.48284,43.29412,-1.71319,-1.78104,268.83133,64.63104,1025.62976,1033.15393,2.0471600000000003
2018-03-07-20:00:00,4.37,20.0,1029.1,271.75,39.0,260.74,2.67848,47.08594,-1.97147,-1.79727,268.82858,59.17686,1025.80212,1033.33728,1.6915200000000001
2018-03-07-21:00:00,4.1,40.0,1029.5,271.55,36.0,259.66,2.87413,50.87776,-2.22975,-1.81351,268.82581,53.72268,1025.97437,1033.52063,1.2258699999999996
2018-03-07-22:00:00,4.7,29.0,1029.6,271.65,32.0,258.45,2.51006,50.18304,-1.93338,-1.6003,269.487,47.68725,1026.64441,1034.21484,2.18994
2018-03-07-23:00:00,3.84,19.0,1030.5,271.95,31.0,258.37,2.146,49.48833,-1.637,-1.3871,270.14819,41.65182,1027.31445,1034.90894,1.694
2018-03-08-00:00:01,5.29,30.0,1030.9,272.45,29.0,258.09,1.78193,48.79361,-1.34062,-1.17389,270.80939,35.6164,1027.9845,1035.60315,3.50807
2018-03-08-01:00:00,4.11,52.0,1031.4,274.25,25.0,256.25,1.67831,80.91216,-1.17396,-0.38019,272.77332,31.10918,1027.84985,1035.42456,2.4316900000000006
